Review_ID,Review_Text
201,The new spicy chicken sandwich is absolutely amazing and delicious!
202,Terrible experience. The fries were cold and the burger was undercooked.
203,It was okay. Nothing special but not bad either.
204,Best burger I have ever had in this city. Great service!
205,Waited 45 minutes for my food. So slow and worst customer service.
206,The classic cheeseburger is good. I liked it.
207,Completely awful. The meat tasted weird and the bun was soggy.
208,Decent food for the price. Might come back.
209,I love this place! Always fresh and great staff.
210,Horrible. Do not eat here.